vendor_id,vendor_name,category
V-0096,Microsoft 96 Inc.,Software
V-0097,Microsoft 97 Corp.,Software
V-0098,Apple 98 Inc.,Software
V-0099,Google 99 Inc.,Software
V-0100,Amazon 100 Inc.,Software
V-0101,Apple 101 Corp.,Software
V-0102,Apple 102 Corp.,Software
V-0103,Adobe 103 Corp.,Software
V-0104,Netflix 104 Corp.,Software
V-0105,Adobe 105 Corp.,Software
V-0106,Tesla 106 Corp.,Software
V-0107,Apple 107 Corp.,Software
V-0108,Tesla 108 Inc.,Software
V-0109,Tesla 109 Inc.,Software
V-0110,Apple 110 Inc.,Software
V-0111,Google 111 Corp.,Software
V-0112,Meta 112 Corp.,Software
V-0113,Meta 113 Corp.,Software
V-0114,Netflix 114 Inc.,Software
V-0115,Apple 115 Corp.,Software
V-0116,Adobe 116 Inc.,Software
V-0117,Salesforce 117 Corp.,Software
V-0118,Oracle 118 Inc.,Software
V-0119,Oracle 119 Inc.,Software
V-0120,Apple 120 Corp.,Software
V-0121,Apple 121 Corp.,Software
V-0122,Amazon 122 Inc.,Software
V-0123,Tesla 123 Corp.,Software
V-0124,Meta 124 Inc.,Software
V-0125,Salesforce 125 Corp.,Software
V-0126,Adobe 126 Inc.,Software
V-0127,Tesla 127 Corp.,Software
V-0128,Salesforce 128 Inc.,Software
V-0129,Amazon 129 Inc.,Software
V-0130,Microsoft 130 Inc.,Software
V-0131,Google 131 Inc.,Software
V-0132,Apple 132 Corp.,Software
V-0133,Microsoft 133 Inc.,Software
V-0134,Apple 134 Corp.,Software
V-0135,Apple 135 Corp.,Software
V-0136,Apple 136 Inc.,Software
V-0137,Oracle 137 Corp.,Software
V-0138,Salesforce 138 Corp.,Software
V-0139,Salesforce 139 Corp.,Software
V-0140,Adobe 140 Corp.,Software
V-0141,Tesla 141 Corp.,Software
V-0142,Google 142 Inc.,Software
V-0143,Amazon 143 Inc.,Software
V-0144,Microsoft 144 Corp.,Software
V-0145,Salesforce 145 Inc.,Software
V-0146,Adobe 146 Corp.,Software
V-0147,Amazon 147 Inc.,Software
V-0148,Salesforce 148 Inc.,Software
V-0149,Tesla 149 Corp.,Software
V-0150,Meta 150 Inc.,Software
V-0151,Amazon 151 Corp.,Software
V-0152,Apple 152 Corp.,Software
V-0153,Oracle 153 Corp.,Software
V-0154,Netflix 154 Corp.,Software
V-0155,Oracle 155 Inc.,Software
V-0156,Meta 156 Corp.,Software
V-0157,Google 157 Corp.,Software
V-0158,Google 158 Inc.,Software
V-0159,Oracle 159 Inc.,Software
V-0160,Tesla 160 Corp.,Software
V-0161,Salesforce 161 Corp.,Software
V-0162,Oracle 162 Corp.,Software
V-0163,Google 163 Inc.,Software
V-0164,Salesforce 164 Corp.,Software
V-0165,Meta 165 Inc.,Software
V-0166,Microsoft 166 Corp.,Software
V-0167,Apple 167 Inc.,Software
V-0168,Microsoft 168 Inc.,Software
V-0169,Amazon 169 Corp.,Software
V-0170,Google 170 Corp.,Software
V-0171,Apple 171 Corp.,Software
V-0172,Microsoft 172 Corp.,Software
V-0173,Google 173 Inc.,Software
V-0174,Salesforce 174 Inc.,Software
V-0175,Amazon 175 Corp.,Software
V-0176,Apple 176 Corp.,Software
V-0177,Apple 177 Inc.,Software
V-0178,Tesla 178 Corp.,Software
V-0179,Netflix 179 Corp.,Software
V-0180,Apple 180 Inc.,Software
V-0181,Salesforce 181 Corp.,Software
V-0182,Amazon 182 Corp.,Software
V-0183,Google 183 Inc.,Software
V-0184,Salesforce 184 Corp.,Software
V-0185,Netflix 185 Inc.,Software
V-0186,Oracle 186 Corp.,Software
V-0187,Oracle 187 Inc.,Software
V-0188,Google 188 Corp.,Software
V-0189,Tesla 189 Corp.,Software
V-0190,Salesforce 190 Inc.,Software
V-0191,Salesforce 191 Corp.,Software
V-0192,Oracle 192 Inc.,Software
V-0193,Microsoft 193 Inc.,Software
V-0194,Netflix 194 Inc.,Software
V-0195,Oracle 195 Inc.,Software
V-0196,Amazon 196 Inc.,Software
V-0197,Amazon 197 Inc.,Software
V-0198,Microsoft 198 Corp.,Software
V-0199,Microsoft 199 Corp.,Software
V-0200,Salesforce 200 Corp.,Software
V-0201,Amazon 201 Inc.,Software
V-0202,Oracle 202 Corp.,Software
V-0203,Tesla 203 Corp.,Software
V-0204,Oracle 204 Corp.,Software
V-0205,Meta 205 Corp.,Software
V-0206,Microsoft 206 Inc.,Software
V-0207,Salesforce 207 Corp.,Software
V-0208,Oracle 208 Corp.,Software
V-0209,Adobe 209 Corp.,Software
V-0210,Microsoft 210 Corp.,Software
V-0211,Salesforce 211 Inc.,Software
V-0212,Oracle 212 Corp.,Software
V-0213,Meta 213 Inc.,Software
V-0214,Google 214 Inc.,Software
V-0215,Oracle 215 Inc.,Software
V-0216,Netflix 216 Corp.,Software
V-0217,Amazon 217 Corp.,Software
V-0218,Netflix 218 Corp.,Software
V-0219,Tesla 219 Inc.,Software
V-0220,Amazon 220 Corp.,Software
V-0221,Apple 221 Corp.,Software
V-0222,Amazon 222 Inc.,Software
V-0223,Oracle 223 Corp.,Software
V-0224,Tesla 224 Corp.,Software
V-0225,Apple 225 Corp.,Software
V-0226,Adobe 226 Inc.,Software
V-0227,Apple 227 Corp.,Software
V-0228,Adobe 228 Inc.,Software
V-0229,Microsoft 229 Corp.,Software
V-0230,Tesla 230 Inc.,Software
V-0231,Adobe 231 Inc.,Software
V-0232,Google 232 Corp.,Software
V-0233,Oracle 233 Corp.,Software
V-0234,Oracle 234 Inc.,Software
V-0235,Amazon 235 Corp.,Software
V-0236,Apple 236 Corp.,Software
V-0237,Netflix 237 Corp.,Software
V-0238,Salesforce 238 Corp.,Software
V-0239,Amazon 239 Corp.,Software
V-0240,Tesla 240 Inc.,Software
V-0241,Microsoft 241 Corp.,Software
V-0242,Netflix 242 Corp.,Software
V-0243,Salesforce 243 Inc.,Software
V-0244,Oracle 244 Inc.,Software
V-0245,Tesla 245 Inc.,Software
V-0246,Microsoft 246 Corp.,Software
V-0247,Apple 247 Inc.,Software
V-0248,Amazon 248 Inc.,Software
V-0249,Salesforce 249 Corp.,Software
V-0250,Salesforce 250 Inc.,Software
V-0251,Amazon 251 Inc.,Software
V-0252,Netflix 252 Corp.,Software
V-0253,Microsoft 253 Inc.,Software
V-0254,Meta 254 Corp.,Software
V-0255,Google 255 Corp.,Software
V-0256,Google 256 Inc.,Software
V-0257,Salesforce 257 Corp.,Software
V-0258,Adobe 258 Inc.,Software
V-0259,Meta 259 Inc.,Software
V-0260,Oracle 260 Corp.,Software
V-0261,Microsoft 261 Inc.,Software
V-0262,Adobe 262 Corp.,Software
V-0263,Tesla 263 Corp.,Software
V-0264,Apple 264 Corp.,Software
V-0265,Tesla 265 Corp.,Software
V-0266,Tesla 266 Corp.,Software
V-0267,Microsoft 267 Inc.,Software
V-0268,Meta 268 Inc.,Software
V-0269,Microsoft 269 Inc.,Software
V-0270,Meta 270 Corp.,Software
V-0271,Adobe 271 Corp.,Software
V-0272,Apple 272 Inc.,Software
V-0273,Netflix 273 Corp.,Software
V-0274,Amazon 274 Inc.,Software
V-0275,Meta 275 Corp.,Software
V-0276,Google 276 Corp.,Software
V-0277,Netflix 277 Corp.,Software
V-0278,Google 278 Corp.,Software
V-0279,Oracle 279 Inc.,Software
V-0280,Oracle 280 Corp.,Software
V-0281,Microsoft 281 Corp.,Software
V-0282,Apple 282 Inc.,Software
V-0283,Meta 283 Corp.,Software
V-0284,Oracle 284 Corp.,Software
V-0285,Microsoft 285 Inc.,Software
V-0286,Salesforce 286 Corp.,Software
V-0287,Oracle 287 Inc.,Software
V-0288,Oracle 288 Corp.,Software
V-0289,Google 289 Corp.,Software
V-0290,Apple 290 Inc.,Software
V-0291,Amazon 291 Inc.,Software
V-0292,Microsoft 292 Inc.,Software
V-0293,Amazon 293 Corp.,Software
V-0294,Salesforce 294 Corp.,Software
V-0295,Adobe 295 Corp.,Software
V-0296,Salesforce 296 Inc.,Software
V-0297,Google 297 Inc.,Software
V-0298,Meta 298 Corp.,Software
V-0299,Netflix 299 Inc.,Software
V-0300,Amazon 300 Inc.,Software
V-0301,Adobe 301 Inc.,Software
V-0302,Apple 302 Corp.,Software
V-0303,Apple 303 Inc.,Software
V-0304,Tesla 304 Inc.,Software
V-0305,Oracle 305 Corp.,Software
V-0306,Apple 306 Corp.,Software
V-0307,Oracle 307 Inc.,Software
V-0308,Salesforce 308 Corp.,Software
V-0309,Netflix 309 Inc.,Software
V-0310,Salesforce 310 Corp.,Software
V-0311,Oracle 311 Corp.,Software
V-0312,Amazon 312 Inc.,Software
V-0313,Meta 313 Inc.,Software
V-0314,Oracle 314 Inc.,Software
V-0315,Google 315 Corp.,Software
V-0316,Google 316 Corp.,Software
V-0317,Meta 317 Inc.,Software
V-0318,Google 318 Inc.,Software
V-0319,Apple 319 Inc.,Software
V-0320,Tesla 320 Inc.,Software
V-0321,Adobe 321 Corp.,Software
V-0322,Meta 322 Corp.,Software
V-0323,Google 323 Inc.,Software
V-0324,Amazon 324 Corp.,Software
V-0325,Apple 325 Corp.,Software
V-0326,Salesforce 326 Inc.,Software
V-0327,Adobe 327 Inc.,Software
V-0328,Apple 328 Inc.,Software
V-0329,Adobe 329 Inc.,Software
V-0330,Meta 330 Inc.,Software
V-0331,Google 331 Inc.,Software
V-0332,Tesla 332 Inc.,Software
V-0333,Oracle 333 Inc.,Software
V-0334,Google 334 Corp.,Software
V-0335,Adobe 335 Corp.,Software
V-0336,Netflix 336 Inc.,Software
V-0337,Netflix 337 Inc.,Software
V-0338,Salesforce 338 Inc.,Software
V-0339,Adobe 339 Inc.,Software
V-0340,Salesforce 340 Corp.,Software
V-0341,Google 341 Inc.,Software
V-0342,Netflix 342 Corp.,Software
V-0343,Meta 343 Corp.,Software
V-0344,Salesforce 344 Corp.,Software
V-0345,Salesforce 345 Corp.,Software
V-0346,Salesforce 346 Inc.,Software
V-0347,Amazon 347 Inc.,Software
V-0348,Apple 348 Inc.,Software
V-0349,Google 349 Corp.,Software
V-0350,Apple 350 Inc.,Software
V-0351,Salesforce 351 Corp.,Software
V-0352,Google 352 Inc.,Software
V-0353,Microsoft 353 Corp.,Software
V-0354,Tesla 354 Corp.,Software
V-0355,Microsoft 355 Inc.,Software
V-0356,Meta 356 Inc.,Software
V-0357,Apple 357 Corp.,Software
V-0358,Oracle 358 Inc.,Software
V-0359,Google 359 Inc.,Software
V-0360,Amazon 360 Inc.,Software
V-0361,Oracle 361 Inc.,Software
V-0362,Amazon 362 Inc.,Software
V-0363,Adobe 363 Corp.,Software
V-0364,Apple 364 Inc.,Software
V-0365,Microsoft 365 Corp.,Software
V-0366,Tesla 366 Inc.,Software
V-0367,Netflix 367 Inc.,Software
V-0368,Google 368 Inc.,Software
V-0369,Amazon 369 Corp.,Software
V-0370,Meta 370 Inc.,Software
V-0371,Meta 371 Inc.,Software
V-0372,Adobe 372 Inc.,Software
V-0373,Oracle 373 Corp.,Software
V-0374,Tesla 374 Corp.,Software
V-0375,Google 375 Corp.,Software
V-0376,Oracle 376 Inc.,Software
V-0377,Netflix 377 Inc.,Software
V-0378,Tesla 378 Corp.,Software
V-0379,Tesla 379 Corp.,Software
V-0380,Apple 380 Inc.,Software
V-0381,Microsoft 381 Inc.,Software
V-0382,Meta 382 Corp.,Software
V-0383,Meta 383 Inc.,Software
V-0384,Microsoft 384 Corp.,Software
V-0385,Salesforce 385 Inc.,Software
V-0386,Netflix 386 Inc.,Software
V-0387,Salesforce 387 Corp.,Software
V-0388,Salesforce 388 Corp.,Software
V-0389,Netflix 389 Corp.,Software
V-0390,Adobe 390 Inc.,Software
V-0391,Microsoft 391 Corp.,Software
V-0392,Apple 392 Inc.,Software
V-0393,Amazon 393 Corp.,Software
V-0394,Microsoft 394 Inc.,Software
V-0395,Google 395 Corp.,Software
V-0396,Netflix 396 Corp.,Software
V-0397,Meta 397 Corp.,Software
V-0398,Tesla 398 Corp.,Software
V-0399,Apple 399 Corp.,Software
V-0400,Adobe 400 Corp.,Software
V-0401,Oracle 401 Corp.,Software
V-0402,Adobe 402 Inc.,Software
V-0403,Oracle 403 Corp.,Software
V-0404,Amazon 404 Corp.,Software
V-0405,Netflix 405 Inc.,Software
V-0406,Tesla 406 Corp.,Software
V-0407,Netflix 407 Corp.,Software
V-0408,Apple 408 Inc.,Software
V-0409,Netflix 409 Corp.,Software
V-0410,Amazon 410 Corp.,Software
V-0411,Tesla 411 Corp.,Software
V-0412,Netflix 412 Inc.,Software
V-0413,Apple 413 Inc.,Software
V-0414,Oracle 414 Corp.,Software
V-0415,Tesla 415 Corp.,Software
V-0416,Oracle 416 Corp.,Software
V-0417,Netflix 417 Inc.,Software
V-0418,Microsoft 418 Inc.,Software
V-0419,Tesla 419 Inc.,Software
V-0420,Amazon 420 Inc.,Software
V-0421,Google 421 Inc.,Software
V-0422,Google 422 Inc.,Software
V-0423,Amazon 423 Inc.,Software
V-0424,Microsoft 424 Inc.,Software
V-0425,Salesforce 425 Corp.,Software
V-0426,Adobe 426 Inc.,Software
V-0427,Microsoft 427 Inc.,Software
V-0428,Salesforce 428 Corp.,Software
V-0429,Netflix 429 Inc.,Software
V-0430,Microsoft 430 Inc.,Software
V-0431,Salesforce 431 Corp.,Software
V-0432,Adobe 432 Corp.,Software
V-0433,Amazon 433 Corp.,Software
V-0434,Netflix 434 Corp.,Software
V-0435,Oracle 435 Inc.,Software
V-0436,Tesla 436 Inc.,Software
V-0437,Tesla 437 Inc.,Software
V-0438,Adobe 438 Corp.,Software
V-0439,Salesforce 439 Corp.,Software
V-0440,Google 440 Corp.,Software
V-0441,Adobe 441 Inc.,Software
V-0442,Adobe 442 Corp.,Software
V-0443,Adobe 443 Inc.,Software
V-0444,Netflix 444 Corp.,Software
V-0445,Netflix 445 Inc.,Software
V-0446,Netflix 446 Corp.,Software
V-0447,Microsoft 447 Corp.,Software
V-0448,Netflix 448 Inc.,Software
V-0449,Tesla 449 Corp.,Software
V-0450,Adobe 450 Corp.,Software
V-0451,Adobe 451 Inc.,Software
V-0452,Oracle 452 Corp.,Software
V-0453,Meta 453 Inc.,Software
V-0454,Apple 454 Inc.,Software
V-0455,Adobe 455 Corp.,Software
V-0456,Amazon 456 Inc.,Software
V-0457,Meta 457 Inc.,Software
V-0458,Meta 458 Corp.,Software
V-0459,Apple 459 Corp.,Software
V-0460,Apple 460 Inc.,Software
V-0461,Adobe 461 Corp.,Software
V-0462,Oracle 462 Inc.,Software
V-0463,Tesla 463 Inc.,Software
V-0464,Amazon 464 Inc.,Software
V-0465,Tesla 465 Inc.,Software
V-0466,Netflix 466 Inc.,Software
V-0467,Apple 467 Inc.,Software
V-0468,Microsoft 468 Corp.,Software
V-0469,Salesforce 469 Inc.,Software
V-0470,Google 470 Inc.,Software
V-0471,Tesla 471 Inc.,Software
V-0472,Adobe 472 Inc.,Software
V-0473,Salesforce 473 Corp.,Software
V-0474,Adobe 474 Inc.,Software
V-0475,Microsoft 475 Inc.,Software
V-0476,Meta 476 Inc.,Software
V-0477,Salesforce 477 Inc.,Software
V-0478,Google 478 Inc.,Software
V-0479,Amazon 479 Corp.,Software
V-0480,Amazon 480 Corp.,Software
V-0481,Google 481 Inc.,Software
V-0482,Amazon 482 Inc.,Software
V-0483,Adobe 483 Corp.,Software
V-0484,Adobe 484 Corp.,Software
V-0485,Oracle 485 Inc.,Software
V-0486,Tesla 486 Inc.,Software
V-0487,Google 487 Inc.,Software
V-0488,Adobe 488 Corp.,Software
V-0489,Apple 489 Corp.,Software
V-0490,Tesla 490 Corp.,Software
V-0491,Oracle 491 Corp.,Software
V-0492,Google 492 Corp.,Software
V-0493,Google 493 Inc.,Software
V-0494,Tesla 494 Corp.,Software
V-0495,Meta 495 Inc.,Software
V-0496,Meta 496 Inc.,Software
V-0497,Adobe 497 Inc.,Software
V-0498,Meta 498 Inc.,Software
V-0499,Microsoft 499 Inc.,Software
V-0500,Tesla 500 Inc.,Software
V-0501,Apple 501 Inc.,Software
V-0502,Amazon 502 Corp.,Software
V-0503,Google 503 Inc.,Software
V-0504,Oracle 504 Corp.,Software
V-0505,Amazon 505 Corp.,Software
V-0506,Amazon 506 Corp.,Software
V-0507,Tesla 507 Corp.,Software
V-0508,Google 508 Corp.,Software
V-0509,Apple 509 Inc.,Software
V-0510,Microsoft 510 Corp.,Software
V-0511,Meta 511 Corp.,Software
V-0512,Adobe 512 Corp.,Software
V-0513,Netflix 513 Corp.,Software
V-0514,Google 514 Inc.,Software
V-0515,Apple 515 Corp.,Software
V-0516,Salesforce 516 Corp.,Software
V-0517,Google 517 Inc.,Software
V-0518,Tesla 518 Corp.,Software
V-0519,Salesforce 519 Inc.,Software
V-0520,Oracle 520 Inc.,Software
V-0521,Netflix 521 Inc.,Software
V-0522,Oracle 522 Inc.,Software
V-0523,Netflix 523 Inc.,Software
V-0524,Amazon 524 Corp.,Software
V-0525,Oracle 525 Inc.,Software
V-0526,Google 526 Inc.,Software
V-0527,Oracle 527 Inc.,Software
V-0528,Adobe 528 Corp.,Software
V-0529,Google 529 Inc.,Software
V-0530,Meta 530 Inc.,Software
V-0531,Microsoft 531 Inc.,Software
V-0532,Meta 532 Corp.,Software
V-0533,Meta 533 Inc.,Software
V-0534,Salesforce 534 Inc.,Software
V-0535,Netflix 535 Corp.,Software
V-0536,Google 536 Inc.,Software
V-0537,Microsoft 537 Inc.,Software
V-0538,Tesla 538 Inc.,Software
V-0539,Apple 539 Inc.,Software
V-0540,Salesforce 540 Corp.,Software
V-0541,Meta 541 Inc.,Software
V-0542,Netflix 542 Corp.,Software
V-0543,Apple 543 Inc.,Software
V-0544,Adobe 544 Inc.,Software
V-0545,Netflix 545 Inc.,Software
V-0546,Meta 546 Inc.,Software
V-0547,Adobe 547 Inc.,Software
V-0548,Amazon 548 Inc.,Software
V-0549,Google 549 Corp.,Software
V-0550,Apple 550 Inc.,Software
V-0551,Google 551 Corp.,Software
V-0552,Meta 552 Corp.,Software
V-0553,Netflix 553 Inc.,Software
V-0554,Oracle 554 Inc.,Software
V-0555,Amazon 555 Corp.,Software
V-0556,Apple 556 Inc.,Software
V-0557,Meta 557 Inc.,Software
V-0558,Amazon 558 Inc.,Software
V-0559,Oracle 559 Corp.,Software
V-0560,Google 560 Corp.,Software
V-0561,Adobe 561 Corp.,Software
V-0562,Microsoft 562 Corp.,Software
V-0563,Amazon 563 Corp.,Software
V-0564,Apple 564 Inc.,Software
V-0565,Oracle 565 Inc.,Software
V-0566,Tesla 566 Corp.,Software
V-0567,Tesla 567 Corp.,Software
V-0568,Amazon 568 Corp.,Software
V-0569,Salesforce 569 Inc.,Software
V-0570,Google 570 Inc.,Software
V-0571,Netflix 571 Corp.,Software
V-0572,Google 572 Inc.,Software
V-0573,Amazon 573 Corp.,Software
V-0574,Tesla 574 Inc.,Software
V-0575,Google 575 Corp.,Software
V-0576,Amazon 576 Corp.,Software
V-0577,Salesforce 577 Corp.,Software
V-0578,Microsoft 578 Inc.,Software
V-0579,Meta 579 Corp.,Software
V-0580,Netflix 580 Inc.,Software
V-0581,Google 581 Inc.,Software
V-0582,Oracle 582 Inc.,Software
V-0583,Amazon 583 Inc.,Software
V-0584,Oracle 584 Inc.,Software
V-0585,Google 585 Inc.,Software
V-0586,Meta 586 Inc.,Software
V-0587,Adobe 587 Inc.,Software
V-0588,Google 588 Inc.,Software
V-0589,Oracle 589 Corp.,Software
V-0590,Netflix 590 Corp.,Software
V-0591,Microsoft 591 Inc.,Software
V-0592,Google 592 Corp.,Software
V-0593,Meta 593 Inc.,Software
V-0594,Netflix 594 Inc.,Software
V-0595,Apple 595 Corp.,Software
V-0596,Tesla 596 Corp.,Software
V-0597,Meta 597 Corp.,Software
V-0598,Salesforce 598 Corp.,Software
V-0599,Tesla 599 Corp.,Software
